iter	RMSE
0	2.428733512
1	2.347179932
2	2.273455943
3	2.203397827
4	2.146008366
5	2.09913928
6	2.063995178
7	2.014988811
8	1.974777736
9	1.954700438
10	1.914246985
11	1.881788203
12	1.851970241
13	1.833074623
14	1.806343242
15	1.78175442
16	1.769190833
17	1.752183295
18	1.726160721
19	1.705776731
20	1.687538539
21	1.665873284
22	1.656114311
23	1.634022889
24	1.622820537
25	1.605974124
26	1.598025733
27	1.584722961
28	1.567810309
29	1.557105045
30	1.545629095
31	1.539883527
32	1.534293412
33	1.522172171
34	1.512361106
35	1.50171367
36	1.492665229
37	1.485165007
38	1.476944057
39	1.472371031
40	1.466392851
41	1.463648025
42	1.462032283
43	1.460887571
44	1.454515559
45	1.442794179
46	1.434444073
47	1.429846842
48	1.421253236
49	1.418583364
50	1.411108713
51	1.405526512
52	1.402390964
53	1.395458844
54	1.389576755
55	1.383395353
56	1.380474271
57	1.377130796
58	1.372841959
59	1.371197702
60	1.367377021
61	1.365761161
62	1.361256697
63	1.356564272
64	1.351044273
65	1.349244807
66	1.347531028
67	1.345981811
68	1.343987349
69	1.335812183
70	1.334631508
71	1.33255117
72	1.328625888
73	1.325135127
74	1.322061032
75	1.319912701
76	1.317737382
77	1.312927098
78	1.308799797
79	1.305866781
80	1.304301515
81	1.301500816
82	1.298528028
83	1.292405989
84	1.290424899
85	1.285648594
86	1.28094344
87	1.279823974
88	1.277400668
89	1.274974929
90	1.272586619
91	1.270110997
92	1.268642007
93	1.265333904
94	1.263389009
95	1.262341114
96	1.258067346
97	1.25700965
98	1.255966594
99	1.253529859
100	1.248817084
101	1.247809155
102	1.24624817
103	1.244491615
104	1.24348881
105	1.241319905
106	1.237200126
107	1.235272156
108	1.233749713
109	1.232315936
110	1.229127587
111	1.228102997
112	1.227200613
113	1.225690115
114	1.223777995
115	1.221901167
116	1.220205718
117	1.21934784
118	1.217808881
119	1.21633066
120	1.214466688
121	1.212681329
122	1.209684678
123	1.208412602
124	1.206159524
125	1.201676035
126	1.200599003
127	1.19954529
128	1.198537921
129	1.19786547
130	1.196161041
131	1.193594539
132	1.192645932
133	1.1920305
134	1.191384685
135	1.190269409
136	1.18967915
137	1.188587596
138	1.187642767
139	1.186185012
140	1.185280804
141	1.18444088
142	1.183636839
143	1.182748899
144	1.181989528
145	1.178710553
146	1.176615314
147	1.175942513
148	1.175377437
149	1.173981338
150	1.173468275
151	1.172045354
152	1.171527395
153	1.168709702
154	1.164865227
155	1.1634788
156	1.16295546
157	1.162470788
158	1.160920898
159	1.159745554
160	1.158249247
161	1.157769775
162	1.154727757
163	1.153669262
164	1.152409402
165	1.151561673
166	1.150907929
167	1.149551334
168	1.14889814
169	1.148444719
170	1.147983474
171	1.146493207
172	1.145242303
173	1.144811191
174	1.143330074
175	1.141974398
176	1.141383174
177	1.140856817
178	1.140303592
179	1.139488458
180	1.137504323
181	1.136156497
182	1.135010481
183	1.13373626
184	1.132703472
185	1.131285471
186	1.130748527
187	1.127654926
188	1.126602987
189	1.126167107
190	1.123504072
191	1.122501846
192	1.121718691
193	1.121178596
194	1.120779644
195	1.120262701
196	1.118440512
197	1.117913093
198	1.116949642
199	1.11641157
200	1.116040223
201	1.115591749
202	1.114804237
203	1.113874519
204	1.113493052
205	1.112357304
206	1.111812136
207	1.110268041
208	1.10991522
209	1.108567782
210	1.10767474
211	1.107310386
212	1.106579258
213	1.104788457
214	1.103816751
215	1.10273361
216	1.102263119
217	1.101920033
218	1.10128522
219	1.099414234
220	1.098624584
221	1.09800271
222	1.096781889
223	1.095535438
224	1.095220185
225	1.094784878
226	1.094454542
227	1.093237784
228	1.091123197
229	1.090788031
230	1.090261737
231	1.088926783
232	1.088284002
233	1.087456017
234	1.087151196
235	1.086672543
236	1.086361838
237	1.083765632
238	1.083461341
239	1.082557294
240	1.080502668
241	1.080038365
242	1.079068762
243	1.078775481
244	1.076828965
245	1.07537127
246	1.074816634
247	1.074526519
248	1.073778233
249	1.073181806
250	1.072780903
251	1.072512538
252	1.071118745
253	1.070614435
254	1.07034257
255	1.068335856
256	1.068082124
257	1.067510325
258	1.065593356
259	1.064897456
260	1.063836987
261	1.063562543
262	1.06253903
263	1.061047046
264	1.060769675
265	1.060498904
266	1.059700883
267	1.059442743
268	1.059177593
269	1.058764547
270	1.057356382
271	1.057122893
272	1.054782786
273	1.054531578
274	1.053970676
275	1.053723884
276	1.053290564
277	1.053049124
278	1.052572577
279	1.052167118
280	1.051016495
281	1.049738936
282	1.048355841
283	1.047152946
284	1.046688872
285	1.046451873
286	1.045742699
287	1.045357985
288	1.044679616
289	1.04429806
290	1.043513988
291	1.042828895
292	1.042495873
293	1.042259799
294	1.040166957
295	1.038273142
296	1.037218697
297	1.036549376
298	1.035132156
299	1.034054444
